loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_writeoff,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_bal,total_pymnt
3000,3000, 36 months,0.183,108.84,D,D5,MORTGAGE,65000,Not Verified,0,other,180xx,PA,17.39,0,0,0,43936,3917.949999
4400,4400, 36 months,0.168,156.37,D,D2,RENT,55000,Not Verified,0,debt_consolidation,029xx,RI,20.01,0,0,0,25237,5629.270001
6000,6000, 36 months,0.06,182.62,A,A1,MORTGAGE,45600,Not Verified,0,debt_consolidation,700xx,LA,5.34,0,1,0,3378,6065.86
14000,14000, 36 months,0.099,451.15,B,B1,RENT,80000,Not Verified,0,small_business,010xx,MA,10,0,1,0,2219,16241.38
5000,5000, 36 months,0.089,158.77,A,A5,MORTGAGE,100000,Source Verified,1,debt_consolidation,441xx,OH,16.33,0,0,0,74351,5028.87
10000,10000, 36 months,0.107,325.74,B,B2,RENT,27000,Verified,0,other,104xx,NY,11.47,0,0,0,7814,11726.32
10000,10000, 36 months,0.06,304.36,A,A1,RENT,60000,Not Verified,0,credit_card,067xx,CT,12.74,0,1,0,14019,10282.70571
11000,11000, 36 months,0.066,337.75,A,A2,RENT,70000,Not Verified,0,debt_consolidation,061xx,CT,10.85,0,0,0,11638,12158.61
15000,15000, 36 months,0.099,483.38,B,B1,MORTGAGE,80000,Not Verified,1,debt_consolidation,616xx,IL,9.12,0,2,0,11845,16177.77
25600,25350, 36 months,0.099,824.96,B,B1,RENT,110000,Verified,0,credit_card,913xx,CA,15.71,0,0,0,26088,29698.51
7000,7000, 36 months,0.107,228.02,B,B2,RENT,40000,Not Verified,0,debt_consolidation,947xx,CA,7.38,0,0,0,12168,8208.410003
12000,12000, 36 months,0.16,421.65,C,C5,RENT,50000,Not Verified,1,car,914xx,CA,20.88,0,2,0,15793,3531.77
12000,12000, 36 months,0.099,386.7,B,B1,RENT,46000,Not Verified,0,credit_card,765xx,TX,8.11,0,1,0,12143,13751.14474
21000,20975, 60 months,0.199,555.33,E,E4,RENT,50000,Verified,1,debt_consolidation,980xx,WA,21.58,0,1,0,19448,18325.89
16000,15950, 60 months,0.199,423.11,E,E4,RENT,81000,Verified,0,credit_card,017xx,MA,20.52,0,3,0,27884,20882.09701
10000,10000, 36 months,0.124,334.16,B,B4,OWN,39000,Not Verified,0,debt_consolidation,972xx,OR,18.58,0,0,0,12874,11477.10378
10000,10000, 36 months,0.107,325.74,B,B2,RENT,51400,Not Verified,0,credit_card,752xx,TX,19.14,0,3,0,10160,10576.43411
7100,7100, 36 months,0.168,252.33,D,D2,MORTGAGE,33000,Verified,0,debt_consolidation,787xx,TX,24,0,2,0,6021,9083.530005
13000,13000, 60 months,0.127,293.74,B,B5,MORTGAGE,30000,Source Verified,0,debt_consolidation,077xx,NJ,13.72,0,0,0,17080,17402.23999
17500,8925, 60 months,0.173,223.74,D,D3,RENT,40000,Verified,0,small_business,951xx,CA,19.47,0,1,0,10724,13227.10001
17675,17675, 60 months,0.147,417.25,C,C3,RENT,50000,Source Verified,0,debt_consolidation,540xx,WI,16.46,0,2,0,6661,21323.86749
8000,8000, 36 months,0.168,284.31,D,D2,RENT,62000,Not Verified,0,debt_consolidation,225xx,VA,21.64,0,3,0,6088,10273.24
10000,9975, 60 months,0.107,215.69,B,B2,RENT,45996,Verified,1,debt_consolidation,440xx,OH,21.73,0,1,0,11170,8772.91
3500,3500, 36 months,0.107,114.01,B,B2,MORTGAGE,55000,Not Verified,0,debt_consolidation,437xx,OH,5.39,0,1,0,6611,4104.209999
12500,8925, 60 months,0.173,223.11,D,D3,RENT,30000,Source Verified,1,debt_consolidation,559xx,MN,13.16,0,0,1,9844,5577.75
16425,16425, 36 months,0.143,563.53,C,C2,RENT,44544,Source Verified,0,debt_consolidation,921xx,CA,22.71,0,1,0,15747,18174.82881
8200,8200, 60 months,0.213,223.14,F,F2,RENT,75000,Source Verified,1,small_business,912xx,CA,12.48,0,3,0,9012,4177.11
15000,15000, 36 months,0.147,517.42,C,C3,OWN,61000,Verified,0,credit_card,325xx,FL,11.88,0,1,0,19397,18565.14804
20975,13550, 60 months,0.176,341.63,D,D4,MORTGAGE,44000,Verified,0,credit_card,300xx,GA,18.79,0,0,1,20657,18112.46087
6400,6400, 36 months,0.168,227.45,D,D2,RENT,75000,Not Verified,1,debt_consolidation,923xx,CA,20.22,0,0,0,7159,4776.45
3000,3000, 36 months,0.135,101.8,C,C1,RENT,33600,Not Verified,0,debt_consolidation,352xx,AL,18.11,0,0,0,2745,3247.889478
12000,12000, 36 months,0.168,426.47,D,D2,RENT,50000,Not Verified,0,credit_card,013xx,MA,20.57,0,1,0,11443,15352.47999
14400,14400, 36 months,0.089,457.25,A,A5,OWN,150000,Source Verified,0,debt_consolidation,146xx,NY,14.85,0,0,0,63864,16460.85
12000,12000, 36 months,0.147,413.94,C,C3,RENT,90000,Not Verified,0,debt_consolidation,074xx,NJ,16.56,0,2,0,17116,12699.71201
11000,11000, 36 months,0.135,373.24,C,C1,MORTGAGE,48000,Verified,0,debt_consolidation,786xx,TX,21.82,0,3,0,11382,13418.28
7250,7175, 60 months,0.217,197.51,F,F3,RENT,75000,Verified,0,debt_consolidation,937xx,CA,24.82,0,2,1,21706,8204.774089
15000,15000, 36 months,0.079,469.36,A,A4,MORTGAGE,52000,Not Verified,0,small_business,799xx,TX,9.65,0,1,0,1616,15557.68008
18000,18000, 60 months,0.199,475.99,E,E4,MORTGAGE,65000,Not Verified,0,debt_consolidation,331xx,FL,6.81,0,0,0,11745,26034.66002
35000,22050, 60 months,0.173,551.84,D,D3,MORTGAGE,150000,Verified,0,home_improvement,115xx,NY,7.51,0,1,0,7334,28887.10007
10000,10000, 36 months,0.143,343.09,C,C2,RENT,68000,Source Verified,0,credit_card,191xx,PA,15.39,0,1,0,11303,10672.89443
11800,11800, 36 months,0.127,395.83,B,B5,RENT,42000,Source Verified,0,credit_card,114xx,NY,9.86,0,0,0,8940,14249.84001
4500,4500, 36 months,0.06,136.96,A,A1,RENT,53000,Source Verified,0,major_purchase,908xx,CA,4.44,0,0,0,8630,4930.555891
7000,7000, 36 months,0.127,234.82,B,B5,RENT,35000,Source Verified,0,credit_card,902xx,CA,11.35,0,2,0,7649,8453.260001
9200,9200, 36 months,0.124,307.43,B,B4,RENT,60000,Source Verified,0,debt_consolidation,902xx,CA,19.96,0,3,0,23299,10482.84389
14000,13975, 60 months,0.173,349.98,D,D3,RENT,28000,Verified,0,other,992xx,WA,6.34,0,2,0,6986,20998.02476
4500,4475, 60 months,0.107,97.06,B,B2,MORTGAGE,42000,Source Verified,0,car,750xx,TX,5.4,0,0,0,8220,4910.673856
12000,12000, 36 months,0.163,423.61,D,D1,RENT,88365,Verified,0,debt_consolidation,852xx,AZ,16.85,0,0,0,22936,14688.34153
12000,12000, 36 months,0.135,407.17,C,C1,RENT,72000,Source Verified,0,debt_consolidation,937xx,CA,21.33,0,1,0,3419,13990.92132
12000,12000, 36 months,0.107,390.88,B,B2,RENT,62000,Verified,0,credit_card,750xx,TX,23.94,0,0,0,20310,12780.07239
7000,7000, 36 months,0.107,228.02,B,B2,MORTGAGE,43680,Not Verified,0,credit_card,559xx,MN,5.38,0,0,0,6245,7689.273614
8200,8200, 60 months,0.194,214.62,E,E3,RENT,120000,Source Verified,0,debt_consolidation,104xx,NY,2.8,0,2,0,10392,11909.45001
10500,10500, 36 months,0.127,352.23,B,B5,RENT,66000,Verified,0,medical,950xx,CA,20.73,1,2,0,5790,11233.31941
7000,7000, 36 months,0.117,231.54,B,B3,OWN,39120,Not Verified,0,debt_consolidation,329xx,FL,21.01,0,0,1,9414,7933.963623
15300,15275, 60 months,0.221,423.1,F,F4,RENT,85000,Verified,0,credit_card,226xx,VA,20.58,0,2,0,26524,25385.07915
20000,12775, 60 months,0.117,282.86,B,B3,MORTGAGE,47800,Verified,0,debt_consolidation,226xx,VA,10.04,0,0,0,16447,15169.30547
17500,17500, 60 months,0.173,437.47,D,D3,MORTGAGE,45000,Not Verified,1,credit_card,992xx,WA,21.31,0,2,0,20129,10037.7
3500,3500, 36 months,0.06,106.53,A,A1,MORTGAGE,83000,Verified,0,car,614xx,IL,2.31,0,0,0,3092,3834.858171
6000,6000, 60 months,0.127,135.57,B,B5,RENT,81000,Source Verified,0,major_purchase,802xx,CO,13.66,1,0,0,15102,8134.048298
6200,6200, 36 months,0.099,199.8,B,B1,RENT,25000,Not Verified,1,debt_consolidation,902xx,CA,20.64,0,2,0,6533,2456.33
16000,16000, 60 months,0.176,402.65,D,D4,RENT,65000,Not Verified,0,debt_consolidation,672xx,KS,15.56,0,0,0,21166,24011.06
6000,6000, 36 months,0.089,190.52,A,A5,OWN,28800,Not Verified,0,debt_consolidation,083xx,NJ,13.17,0,0,0,5269,6858.700001
7200,7200, 36 months,0.099,232.02,B,B1,RENT,135000,Not Verified,0,credit_card,100xx,NY,6.12,0,0,0,16627,8352.709998
9500,9500, 36 months,0.089,301.66,A,A5,MORTGAGE,50000,Not Verified,0,credit_card,770xx,TX,8.18,0,0,0,13422,10495.82126
18825,18800, 60 months,0.168,465.53,D,D2,RENT,38000,Verified,1,debt_consolidation,787xx,TX,23.18,0,0,0,11004,18749.25
24000,24000, 36 months,0.107,781.76,B,B2,RENT,45000,Verified,0,debt_consolidation,926xx,CA,14.8,0,0,0,24708,28143.25001
6000,6000, 36 months,0.135,203.59,C,C1,RENT,80000,Not Verified,0,debt_consolidation,931xx,CA,11.58,0,0,0,15499,7328.920002
6000,6000, 36 months,0.135,203.59,C,C1,RENT,50000,Not Verified,0,debt_consolidation,860xx,AZ,15.38,0,1,0,15191,7328.920002
2100,2100, 36 months,0.124,70.18,B,B4,MORTGAGE,30000,Not Verified,0,vacation,712xx,LA,19.72,0,1,0,12183,2553.84
5500,5500, 36 months,0.066,168.88,A,A2,MORTGAGE,110000,Verified,0,small_business,060xx,CT,9.69,0,0,0,14136,6079.289999
11000,11000, 36 months,0.066,337.75,A,A2,OWN,45608,Source Verified,0,debt_consolidation,707xx,LA,20.5,0,0,0,10677,12158.61
26800,26800, 60 months,0.209,723.38,F,F1,MORTGAGE,120000,Verified,0,debt_consolidation,342xx,FL,12.15,0,0,0,14772,32895.86293
8000,8000, 36 months,0.127,268.36,B,B5,MORTGAGE,35000,Not Verified,0,debt_consolidation,604xx,IL,10.05,0,0,0,6842,9000.143229
10000,10000, 36 months,0.183,362.78,D,D5,RENT,75000,Source Verified,1,credit_card,900xx,CA,24.14,0,0,0,22828,11730.6
8000,8000, 36 months,0.117,264.61,B,B3,MORTGAGE,35000,Verified,0,credit_card,895xx,NV,9.7,0,0,0,6142,9435.85818
10000,10000, 36 months,0.089,317.54,A,A5,RENT,24000,Verified,0,debt_consolidation,900xx,CA,7,0,0,0,6734,10869.33055
12000,12000, 36 months,0.117,396.92,B,B3,MORTGAGE,126000,Not Verified,0,debt_consolidation,430xx,OH,13.32,0,0,0,32711,14183.43257
10000,10000, 36 months,0.079,312.91,A,A4,RENT,43000,Not Verified,0,debt_consolidation,919xx,CA,25.26,0,0,0,8215,11264.48
12000,12000, 36 months,0.099,386.7,B,B1,RENT,50000,Not Verified,0,debt_consolidation,926xx,CA,16.44,0,1,0,14335,13921.18
25000,23088.16106, 60 months,0.135,575.12,C,C1,MORTGAGE,67000,Verified,1,credit_card,996xx,AK,14.15,0,0,0,15319,23880.65
19750,19725, 36 months,0.107,643.33,B,B2,RENT,45000,Verified,1,debt_consolidation,974xx,OR,22.8,0,0,0,16576,11931.23
10000,10000, 36 months,0.099,322.25,B,B1,RENT,31200,Source Verified,0,debt_consolidation,104xx,NY,14.81,0,0,0,5540,10904.83903
13650,13650, 36 months,0.124,456.12,B,B4,RENT,66000,Verified,0,debt_consolidation,891xx,NV,24.09,0,0,0,8933,16012.11212
28000,11775, 60 months,0.199,312.04,E,E4,RENT,52000,Verified,1,debt_consolidation,752xx,TX,20.7,0,0,0,29178,12181.32
18000,18000, 36 months,0.079,563.23,A,A4,RENT,56964,Source Verified,0,debt_consolidation,935xx,CA,27.55,0,0,0,17381,20276.0603
2500,2500, 36 months,0.143,85.78,C,C2,RENT,49500,Source Verified,0,debt_consolidation,325xx,FL,10.33,0,1,0,9868,2529.902083
21000,20120.80657, 60 months,0.203,559.89,E,E5,RENT,70000,Verified,0,credit_card,801xx,CO,23.21,0,2,0,12508,27097.72185
35000,35000, 36 months,0.089,1111.37,A,A5,MORTGAGE,125000,Verified,0,debt_consolidation,928xx,CA,22.71,0,0,0,9051,40009.00999
10000,10000, 36 months,0.075,311.11,A,A3,RENT,33000,Not Verified,0,credit_card,080xx,NJ,9.75,0,1,0,68,11028.3575
7000,7000, 36 months,0.127,234.82,B,B5,RENT,30000,Source Verified,0,credit_card,233xx,VA,15.8,0,2,0,15455,8453.250717
24000,24000, 36 months,0.16,843.3,C,C5,MORTGAGE,90000,Source Verified,1,home_improvement,927xx,CA,9.17,0,1,0,30952,5903.1
10625,10625, 36 months,0.075,330.56,A,A3,MORTGAGE,23000,Not Verified,0,medical,970xx,OR,18.89,0,1,0,7114,11843.01164
5000,5000, 36 months,0.147,172.48,C,C3,RENT,24000,Source Verified,0,debt_consolidation,150xx,PA,18.3,0,2,0,2429,5682.99014
8850,8850, 36 months,0.066,271.73,A,A2,RENT,62000,Source Verified,0,credit_card,211xx,MD,17.71,0,0,0,9466,9782.190001
6375,6375, 36 months,0.075,198.34,A,A3,RENT,44000,Source Verified,0,debt_consolidation,303xx,GA,4.8,0,0,0,6324,6737.872873
6000,6000, 36 months,0.117,198.46,B,B3,RENT,90000,Not Verified,0,credit_card,070xx,NJ,2.97,1,0,0,8489,7041.911592
11100,11100, 36 months,0.066,340.82,A,A2,RENT,41000,Verified,1,credit_card,194xx,PA,29.85,0,1,0,17518,8124.54
10000,10000, 60 months,0.127,225.95,B,B5,MORTGAGE,56000,Source Verified,0,debt_consolidation,923xx,CA,10.82,0,1,0,10081,12739.07
6200,6200, 36 months,0.06,188.71,A,A1,MORTGAGE,26500,Not Verified,0,small_business,263xx,WV,18.2,0,0,0,2982,6793.18285
15000,15000, 36 months,0.186,547.12,E,E1,RENT,54000,Not Verified,0,debt_consolidation,300xx,GA,19.69,0,2,0,15183,19405.30244
4200,4200, 36 months,0.117,138.92,B,B3,RENT,53000,Not Verified,0,other,403xx,MD,16.91,0,0,0,8336,5001.080367
14000,14000, 36 months,0.143,480.33,C,C2,RENT,52800,Not Verified,0,debt_consolidation,919xx,CA,7.36,0,1,0,13378,14488.26632
8875,8875, 36 months,0.075,276.11,A,A3,MORTGAGE,38000,Not Verified,0,debt_consolidation,301xx,GA,23.53,0,1,0,19056,9713.561012
13500,13500, 36 months,0.099,435.04,B,B1,RENT,38000,Verified,0,debt_consolidation,917xx,CA,12.38,0,1,0,16023,15659.00546
12000,12000, 36 months,0.099,386.7,B,B1,RENT,42000,Not Verified,1,debt_consolidation,553xx,MN,7.83,0,2,0,9749,11242.49
16000,15975, 60 months,0.199,423.11,E,E4,RENT,55000,Verified,0,debt_consolidation,993xx,WA,15.8,0,0,0,7743,22286.22034
21600,20498.26578, 60 months,0.194,565.32,E,E3,MORTGAGE,60000,Source Verified,0,debt_consolidation,312xx,GA,16.74,1,0,0,13354,27586.78141
6000,6000, 36 months,0.107,195.44,B,B2,MORTGAGE,87000,Not Verified,0,home_improvement,074xx,NJ,12.86,2,0,0,11739,7000.232528
8450,8425, 60 months,0.168,208.97,D,D2,OWN,25000,Verified,0,debt_consolidation,606xx,IL,22.51,0,2,0,17614,12206.22001
20000,18590.33777, 60 months,0.135,460.1,C,C1,RENT,82000,Not Verified,0,credit_card,432xx,OH,17.68,0,0,0,26693,26403.41
10000,10000, 36 months,0.117,330.76,B,B3,RENT,60000,Not Verified,1,debt_consolidation,921xx,CA,22.08,0,0,0,5626,6002.38
12000,12000, 36 months,0.163,423.61,D,D1,MORTGAGE,80000,Verified,0,credit_card,303xx,GA,18.18,0,0,0,29609,14949.9047
13475,13450, 60 months,0.135,309.99,C,C1,RENT,25000,Verified,1,credit_card,917xx,CA,21.89,0,1,0,9943,6199.8
7200,7200, 36 months,0.124,240.59,B,B4,RENT,48000,Not Verified,0,major_purchase,602xx,IL,17.43,0,1,0,16450,8677.64414
5600,5600, 36 months,0.147,193.17,C,C3,MORTGAGE,85000,Not Verified,1,debt_consolidation,850xx,AZ,12.24,1,3,0,6812,1352.19
12000,11975, 36 months,0.143,411.71,C,C2,RENT,57000,Verified,0,debt_consolidation,931xx,CA,10.86,0,1,0,9273,14401.59573
8500,8500, 36 months,0.06,258.71,A,A1,RENT,25000,Not Verified,0,credit_card,216xx,MD,1.73,0,0,0,2463,9074.821136
8000,8000, 36 months,0.099,257.8,B,B1,RENT,34000,Source Verified,0,credit_card,151xx,PA,18.28,0,0,0,7434,9280.79
8000,8000, 36 months,0.124,267.33,B,B4,RENT,40000,Not Verified,0,credit_card,971xx,OR,15,0,0,0,18601,9623.539087
16000,8150, 60 months,0.153,382.92,C,C4,RENT,42656.4,Source Verified,0,debt_consolidation,305xx,GA,17.44,0,1,0,12830,22394.08
15000,15000, 36 months,0.173,536.81,D,D3,MORTGAGE,44400,Source Verified,0,house,334xx,FL,3.59,1,0,1,4582,17994.71325
10000,10000, 36 months,0.099,322.25,B,B1,OWN,30000,Not Verified,0,debt_consolidation,050xx,VT,11.24,0,1,0,9152,11387.44049
10000,10000, 36 months,0.066,307.04,A,A2,MORTGAGE,70000,Not Verified,0,credit_card,129xx,NY,16.78,0,0,0,10770,10903.4743
8000,8000, 36 months,0.147,275.96,C,C3,RENT,28000,Not Verified,0,car,925xx,CA,12.6,0,1,0,6187,8637.015205
22000,22000, 36 months,0.099,708.95,B,B1,MORTGAGE,50000,Verified,0,debt_consolidation,483xx,MI,13.22,0,4,0,21470,25523.44999
6000,6000, 36 months,0.143,205.86,C,C2,MORTGAGE,94800,Verified,0,car,760xx,TX,24.53,0,1,0,71890,7217.547545
16000,15975, 60 months,0.099,339.25,B,B1,OWN,40000,Verified,0,debt_consolidation,329xx,FL,9.39,0,1,0,13270,20209.06
2500,2500, 36 months,0.075,77.78,A,A3,OWN,12000,Source Verified,1,debt_consolidation,961xx,CA,16.3,0,2,0,4853,1838.88
13500,13500, 36 months,0.099,435.04,B,B1,MORTGAGE,36000,Source Verified,0,credit_card,200xx,DC,22.93,0,1,0,25011,15622.37656
25000,25000, 36 months,0.124,835.39,B,B4,RENT,225000,Verified,0,debt_consolidation,085xx,NJ,8.32,1,0,0,30449,30073.68
10000,10000, 36 months,0.135,339.31,C,C1,RENT,45900,Verified,0,small_business,951xx,CA,24.97,0,2,0,8936,12177.62544
2500,2500, 36 months,0.135,84.83,C,C1,RENT,27200,Not Verified,0,debt_consolidation,981xx,WA,6.44,0,0,0,3473,3053.71
7325,7325, 36 months,0.127,245.72,B,B5,RENT,42000,Not Verified,0,debt_consolidation,330xx,FL,22.57,0,3,0,7281,8845.75
4000,4000, 36 months,0.124,133.67,B,B4,RENT,135000,Verified,0,credit_card,103xx,NY,12.12,0,3,0,29311,4337.425225
10000,10000, 36 months,0.135,339.31,C,C1,RENT,65000,Not Verified,1,small_business,927xx,CA,6.92,1,2,0,14292,9270.84
7750,7750, 36 months,0.173,277.36,D,D3,RENT,24000,Not Verified,1,debt_consolidation,601xx,IL,16.1,0,1,0,2348,6934
20000,20000, 60 months,0.209,539.84,F,F1,RENT,70000,Source Verified,1,debt_consolidation,334xx,FL,16.63,0,1,0,10470,5427.53
9600,9600, 36 months,0.124,320.79,B,B4,RENT,65000,Verified,0,debt_consolidation,117xx,NY,11.65,0,0,0,11279,11338.81668
21000,21000, 60 months,0.117,464.07,B,B3,RENT,60000,Not Verified,1,debt_consolidation,931xx,CA,6.62,0,0,0,10543,3712.56
14000,14000, 36 months,0.107,456.03,B,B2,RENT,30000,Source Verified,0,credit_card,063xx,CT,15.52,0,0,0,15542,15200.41047
13350,13350, 36 months,0.124,446.1,B,B4,RENT,43000,Not Verified,0,debt_consolidation,920xx,CA,20.57,0,0,0,11531,16059.37
15000,15000, 36 months,0.168,533.08,D,D2,RENT,42000,Verified,1,debt_consolidation,543xx,WI,19.63,0,2,0,8238,13373.77
15000,15000, 36 months,0.173,536.81,D,D3,RENT,75000,Source Verified,1,debt_consolidation,951xx,CA,16.03,0,0,0,13505,10199.39
11000,10750, 60 months,0.135,253.06,C,C1,MORTGAGE,129000,Verified,0,debt_consolidation,927xx,CA,10.94,0,0,0,1735,15121.77002
35000,35000, 36 months,0.107,1140.07,B,B2,MORTGAGE,168000,Verified,0,debt_consolidation,775xx,TX,3.17,1,1,0,1099,38061.50488
9000,9000, 36 months,0.107,293.16,B,B2,MORTGAGE,74000,Source Verified,0,credit_card,570xx,SD,8.89,0,0,0,7388,10553.74
22475,22425, 60 months,0.153,537.87,C,C4,MORTGAGE,52000,Verified,0,debt_consolidation,038xx,NH,15.23,0,1,0,18554,32080.69004
16000,16000, 36 months,0.127,536.72,B,B5,RENT,58500,Source Verified,1,debt_consolidation,606xx,IL,20.64,0,0,0,26224,12295.72
13500,13500, 36 months,0.127,452.86,B,B5,RENT,71000,Source Verified,0,debt_consolidation,221xx,VA,11.97,0,2,0,6681,16302.76
24000,24000, 36 months,0.127,805.08,B,B5,RENT,75000,Verified,0,debt_consolidation,985xx,WA,11.6,0,0,0,21609,28982.71001
12000,12000, 36 months,0.107,390.88,B,B2,RENT,60000,Not Verified,0,credit_card,920xx,CA,10.84,0,1,0,11849,14071.63
